
 REGION_ID    DEPT_ID PRODUCT_ID     EMP_ID EMP_QTY_SOLD REGION_PROD_TOTAL  RATIO2RPT
---------- ---------- ---------- ---------- ------------ ----------------- ----------
       101        201         14       1095         2671           1844866 .001447802
       103        202         18       1063         2758           1860696 .001482241
       103        202         10       1031         2884           1838179 .001568944
       103        201         12       1084         2910           1846140 .001576262
       101        201         12       1010         2970           1856359 .001599906
       102        202         17       1089         2956           1844241 .001602827
       102        202         11       1007         2980           1850494 .001610381
       101        204         17       1099         3007           1859788 .001616851
       103        203         11       1010         2978           1837811 .001620406
       103        201         18       1003         3083           1860696 .001656907
       101        204         14       1022         3061           1844866 .001659199
       101        202         18       1012         3070           1847731 .001661497
       101        203         15       1029         3101           1863293 .001664258
       102        201         15       1041         3097           1842759 .001680632
       102        202         15       1063         3104           1842759 .001684431
       102        203         17       1046         3108           1844241 .001685246
       101        204         13       1050         3114           1846182 .001686724
       102        202         14       1046         3171           1868309 .001697257
       101        201         10       1005         3156           1856153 .001700291
       101        201         14       1037         3137           1844866 .001700395
       103        204         11       1089         3126           1837811 .001700937
       103        202         14       1085         3161           1857434  .00170181
       102        201         15       1068         3138           1842759 .001702881
       103        203         13       1016         3144           1844543 .001704487
       102        202         15       1098         3148           1842759 .001708308
       103        204         14       1088         3187           1857434 .001715808
       102        202         13       1065         3173           1842160 .001722435
       102        204         18       1046         3201           1855012 .001725595
       102        202         11       1047         3206           1850494  .00173251
       102        201         12       1092         3217           1849090 .001739775
       101        203         18       1048         3215           1847731 .001739972
       103        202         11       1021         3209           1837811 .001746099
       103        202         10       1052         3218           1838179 .001750646
       102        203         18       1051         3254           1855012 .001754167
       103        202         18       1056         3266           1860696 .001755257
       101        202         12       1015         3262           1856359 .001757203
       103        202         11       1043         3235           1837811 .001760246
       101        201         12       1059         3268           1856359 .001760435
       101        202         17       1051         3277           1859788 .001762029
       102        203         18       1090         3275           1855012 .001765487
       103        202         12       1002         3261           1846140 .001766388
       102        203         18       1070         3278           1855012 .001767104
       101        204         15       1053         3298           1863293 .001769985
       103        204         17       1092         3278           1851415 .001770538
       103        203         18       1057         3296           1860696  .00177138
       101        203         10       1082         3295           1856153 .001775177
       102        204         15       1064         3275           1842759 .001777226
       103        203         18       1037         3309           1860696 .001778367
       103        201         14       1070         3306           1857434 .001779875
       101        204         15       1070         3318           1863293 .001780718
       101        201         16       1074         3305           1852607 .001783973
       102        203         18       1083         3310           1855012 .001784355
       101        204         15       1027         3327           1863293 .001785548
       102        203         16       1086         3295           1845178 .001785736
       101        202         14       1061         3296           1844866  .00178658
       101        203         15       1005         3329           1863293 .001786622
       102        204         14       1035         3339           1868309 .001787178
       101        204         10       1078         3321           1856153 .001789184
       103        204         10       1050         3290           1838179 .001789815
       103        201         11       1087         3292           1837811 .001791261
       103        202         17       1030         3319           1851415 .001792683
       103        201         18       1050         3336           1860696 .001792878
       103        203         10       1015         3296           1838179 .001793079
       103        202         15       1025         3349           1865283 .001795438
       103        204         14       1010         3336           1857434 .001796026
       103        202         18       1090         3344           1860696 .001797177
       103        203         17       1094         3328           1851415 .001797544
       102        202         16       1067         3317           1845178 .001797659
       103        202         17       1081         3330           1851415 .001798624
       102        204         10       1077         3343           1857548 .001799684
       103        201         13       1094         3320           1844543 .001799904
       101        201         18       1005         3328           1847731 .001801128
       102        202         17       1098         3322           1844241 .001801283
       101        201         17       1006         3355           1859788 .001803969
       102        203         17       1030         3327           1844241 .001803994
       103        204         15       1045         3372           1865283 .001807769
       103        204         18       1064         3366           1860696 .001809001
       102        203         13       1086         3333           1842160 .001809289
       103        202         18       1088         3368           1860696 .001810075
       101        202         15       1044         3373           1863293 .001810236
       101        203         16       1085         3355           1852607 .001810962
       102        202         11       1091         3353           1850494 .001811949
       102        202         14       1094         3387           1868309 .001812869
       102        203         12       1084         3353           1849090 .001813324
       103        202         11       1057         3334           1837811 .001814115
       101        201         13       1001         3358           1846182 .001818889
       103        204         16       1071         3393           1865345 .001818966
       103        203         11       1045         3344           1837811 .001819556
       102        204         15       1046         3356           1842759 .001821182
       102        204         12       1075         3368           1849090 .001821436
       101        201         16       1032         3375           1852607 .001821757
       101        202         11       1064         3359           1843273 .001822302
       101        204         10       1016         3383           1856153 .001822587
       103        203         16       1099         3401           1865345 .001823255
       101        204         17       1095         3395           1859788 .001825477
       102        203         12       1052         3376           1849090 .001825763
       101        203         13       1079         3371           1846182  .00182593
       103        201         11       1082         3357           1837811  .00182663
       101        203         18       1046         3376           1847731 .001827106
       103        204         16       1028         3411           1865345 .001828616
       103        203         13       1088         3373           1844543 .001828637
       102        204         13       1003         3375           1842160 .001832088
       103        202         12       1096         3383           1846140 .001832472
       102        203         11       1072         3393           1850494 .001833564
       102        204         17       1009         3384           1844241 .001834901
       103        203         16       1019         3426           1865345 .001836658
       102        204         11       1039         3399           1850494 .001836807
       101        204         14       1034         3390           1844866 .001837532
       102        204         17       1097         3390           1844241 .001838155
       102        204         15       1048         3390           1842759 .001839633
       103        203         14       1042         3418           1857434 .001840173
       101        202         15       1021         3432           1863293   .0018419
       103        201         12       1082         3401           1846140 .001842222
       102        202         11       1035         3411           1850494 .001843292
       102        203         10       1085         3431           1857548 .001847059
       101        203         18       1030         3414           1847731 .001847672
       102        202         18       1030         3429           1855012 .001848506
       103        201         14       1099         3436           1857434 .001849864
       101        204         12       1024         3436           1856359 .001850935
       103        201         18       1045         3446           1860696 .001851995
       102        201         18       1037         3439           1855012 .001853896
       103        204         10       1088         3408           1838179 .001854009
       101        203         10       1023         3444           1856153  .00185545
       103        204         11       1087         3411           1837811 .001856012
       102        204         14       1095         3469           1868309 .001856759
       103        204         18       1052         3456           1860696  .00185737
       102        201         11       1077         3438           1850494 .001857882
       103        204         15       1090         3466           1865283 .001858163
       101        202         11       1008         3426           1843273  .00185865
       103        201         12       1018         3433           1846140 .001859556
       103        203         12       1045         3435           1846140 .001860639
       101        201         15       1081         3468           1863293 .001861221
       103        204         15       1087         3473           1865283 .001861916
       102        203         10       1066         3460           1857548 .001862671
       101        202         18       1009         3442           1847731 .001862825
       103        203         10       1071         3426           1838179 .001863801
       103        204         12       1049         3443           1846140 .001864972
       103        202         11       1061         3428           1837811 .001865263
       103        201         13       1078         3441           1844543 .001865503
       101        202         16       1045         3459           1852607 .001867099
       101        204         15       1012         3480           1863293 .001867661
       102        204         13       1090         3441           1842160 .001867916
       101        204         16       1045         3462           1852607 .001868718
       101        202         14       1003         3448           1844866  .00186897
       101        204         16       1031         3465           1852607 .001870337
       103        203         11       1016         3440           1837811 .001871792
       102        204         16       1057         3458           1845178 .001874074
       102        203         13       1051         3454           1842160 .001874973
       101        202         10       1041         3484           1856153    .001877
       102        202         15       1003         3459           1842759 .001877077
       102        203         17       1011         3465           1844241 .001878822
       103        202         11       1055         3454           1837811  .00187941
       101        202         16       1078         3482           1852607 .001879514
       103        202         13       1097         3470           1844543 .001881225
       102        203         13       1058         3466           1842160 .001881487
       101        204         10       1074         3493           1856153 .001881849
       102        204         18       1045         3492           1855012 .001882468
